pokedex_number,name,japanese_name,type1,type2,abilities,hp,attack,defense,sp_attack,sp_defense,speed,base_total,classfication,generation,is_legendary,experience_growth,capture_rate,base_egg_steps,base_happiness,height_m,percentage_male,weight_kg,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
197,Umbreon,Blackyブラッキー,dark,,"['Synchronize', 'Inner Focus']",95,65,110,60,130,65,525,Moonlight Pokémon,2,0,1000000,45,8960,35,1,88.1,27,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
198,Murkrow,Yamikarasuヤミカラス,dark,flying,"['Insomnia', 'Super Luck', 'Prankster']",60,85,42,85,42,91,405,Darkness Pokémon,2,0,1059860,30,5120,35,0.5,50,2.1,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1
199,Slowking,Yadokingヤドキング,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",95,75,80,100,110,30,490,Royal Pokémon,2,0,1000000,70,5120,70,2,50,79.5,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
200,Misdreavus,Mumaムウマ,ghost,,['Levitate'],60,60,60,85,85,85,435,Screech Pokémon,2,0,800000,45,6400,35,0.7,50,1,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
201,Unown,Unknownアンノーン,psychic,,['Levitate'],48,72,48,72,48,48,336,Symbol Pokémon,2,0,1000000,225,10240,70,0.5,,5,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
202,Wobbuffet,Sonansソーナンス,psychic,,"['Shadow Tag', 'Telepathy']",190,33,58,33,58,33,405,Patient Pokémon,2,0,1000000,45,5120,70,1.3,50,28.5,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
203,Girafarig,Kirinrikiキリンリキ,normal,psychic,"['Inner Focus', 'Early Bird', 'Sap Sipper']",70,80,65,90,65,85,455,Long Neck Pokémon,2,0,1000000,60,5120,70,1.5,50,41.5,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1
204,Pineco,Kunugidamaクヌギダマ,bug,,"['Sturdy', 'Overcoat']",50,65,90,35,35,15,290,Bagworm Pokémon,2,0,1000000,190,5120,70,0.6,50,7.2,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
205,Forretress,Foretosフォレトス,bug,steel,"['Sturdy', 'Overcoat']",75,90,140,60,60,40,465,Bagworm Pokémon,2,0,1000000,75,5120,70,1.2,50,125.8,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1
206,Dunsparce,Nokocchiノコッチ,normal,,"['Serene Grace', 'Run Away', 'Rattled']",100,70,70,65,65,45,415,Land Snake Pokémon,2,0,1000000,190,5120,70,1.5,50,14,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
207,Gligar,Gligerグライガー,ground,flying,"['Hyper Cutter', 'Sand Veil', 'Immunity']",65,75,105,35,65,85,430,Flyscorpion Pokémon,2,0,1059860,60,5120,70,1.1,50,64.8,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2
208,Steelix,Haganeilハガネール,steel,ground,"['Rock Head', 'Sturdy', 'Sheer Force']",75,125,230,55,95,30,610,Iron Snake Pokémon,2,0,1000000,25,6400,70,9.2,50,400,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2
209,Snubbull,Buluブルー,fairy,,"['Intimidate', 'Run Away', 'Rattled']",60,80,50,40,40,30,300,Fairy Pokémon,2,0,800000,190,5120,70,0.6,24.6,7.8,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
210,Granbull,Granbuluグランブル,fairy,,"['Intimidate', 'Quick Feet', 'Rattled']",90,120,75,60,60,45,450,Fairy Pokémon,2,0,800000,75,5120,70,1.4,24.6,48.7,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
211,Qwilfish,Harysenハリーセン,water,poison,"['Poison Point', 'Swift Swim', 'Intimidate']",65,95,85,55,55,85,440,Balloon Pokémon,2,0,1000000,45,5120,70,0.5,50,3.9,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5
212,Scizor,Hassamハッサム,bug,steel,"['Swarm', 'Technician', 'Light Metal']",70,150,140,65,100,75,600,Pincer Pokémon,2,0,1000000,25,6400,70,1.8,50,118,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1
213,Shuckle,Tsubotsuboツボツボ,bug,rock,"['Sturdy', 'Gluttony', 'Contrary']",20,10,230,10,230,5,505,Mold Pokémon,2,0,1059860,190,5120,70,0.6,50,20.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2
214,Heracross,Heracrosヘラクロス,bug,fighting,"['Swarm', 'Guts', 'Moxie']",80,185,115,40,105,75,600,Singlehorn Pokémon,2,0,1250000,45,6400,70,1.5,50,54,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1
215,Sneasel,Nyulaニューラ,dark,ice,"['Inner Focus', 'Keen Eye', 'Pickpocket']",55,95,55,35,75,115,430,Sharp Claw Pokémon,2,0,1059860,60,5120,35,0.9,50,28,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1
216,Teddiursa,Himegumaヒメグマ,normal,,"['Pickup', 'Quick Feet', 'Honey Gather']",60,80,50,50,50,40,330,Little Bear Pokémon,2,0,1000000,120,5120,70,0.6,50,8.8,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
217,Ursaring,Ringumaリングマ,normal,,"['Guts', 'Quick Feet', 'Unnerve']",90,130,75,75,75,55,500,Hibernator Pokémon,2,0,1000000,60,5120,70,1.8,50,125.8,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
218,Slugma,Magmagマグマッグ,fire,,"['Magma Armor', 'Flame Body', 'Weak Armor']",40,40,40,70,40,20,250,Lava Pokémon,2,0,1000000,190,5120,70,0.7,50,35,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
219,Magcargo,Magcargotマグカルゴ,fire,rock,"['Magma Armor', 'Flame Body', 'Weak Armor']",60,50,120,90,80,30,430,Lava Pokémon,2,0,1000000,75,5120,70,0.8,50,55,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4
220,Swinub,Urimooウリムー,ice,ground,"['Oblivious', 'Snow Cloak', 'Thick Fat']",50,50,40,30,30,50,250,Pig Pokémon,2,0,1250000,225,5120,70,0.4,50,6.5,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2
221,Piloswine,Inomooイノムー,ice,ground,"['Oblivious', 'Snow Cloak', 'Thick Fat']",100,100,80,60,60,50,450,Swine Pokémon,2,0,1250000,75,5120,70,1.1,50,55.8,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2
222,Corsola,Sunnygoサニーゴ,water,rock,"['Hustle', 'Natural Cure', 'Regenerator']",65,55,95,65,95,35,410,Coral Pokémon,2,0,800000,60,5120,70,0.6,24.6,5,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
223,Remoraid,Teppouoテッポウオ,water,,"['Hustle', 'Sniper', 'Moody']",35,65,35,65,35,65,300,Jet Pokémon,2,0,1000000,190,5120,70,0.6,50,12,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
224,Octillery,Okutankオクタン,water,,"['Suction Cups', 'Sniper', 'Moody']",75,105,75,105,75,45,480,Jet Pokémon,2,0,1000000,75,5120,70,0.9,50,28.5,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
225,Delibird,Delibirdデリバード,ice,flying,"['Vital Spirit', 'Hustle', 'Insomnia']",45,55,45,65,45,75,330,Delivery Pokémon,2,0,800000,45,5120,70,0.9,50,16,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1
226,Mantine,Mantainマンタイン,water,flying,"['Swift Swim', 'Water Absorb', 'Water Veil']",85,40,70,80,140,70,485,Kite Pokémon,2,0,1250000,25,6400,70,2.1,50,220,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
227,Skarmory,Airmdエアームド,steel,flying,"['Keen Eye', 'Sturdy', 'Weak Armor']",65,80,140,40,70,70,465,Armor Bird Pokémon,2,0,1250000,25,6400,70,1.7,50,50.5,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1
228,Houndour,Delvilデルビル,dark,fire,"['Early Bird', 'Flash Fire', 'Unnerve']",45,60,30,80,50,65,330,Dark Pokémon,2,0,1250000,120,5120,35,0.6,50,10.8,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2
229,Houndoom,Hellgarヘルガー,dark,fire,"['Early Bird', 'Flash Fire', 'Unnerve']",75,90,90,140,90,115,600,Dark Pokémon,2,0,1250000,45,5120,35,1.4,50,35,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2
230,Kingdra,Kingdraキングドラ,water,dragon,"['Swift Swim', 'Sniper', 'Damp']",75,95,95,95,95,85,540,Dragon Pokémon,2,0,1000000,45,5120,70,1.8,50,152,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25
231,Phanpy,Gomazouゴマゾウ,ground,,"['Pickup', 'Sand Veil']",90,60,60,40,40,40,330,Long Nose Pokémon,2,0,1000000,120,5120,70,0.5,50,33.5,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
232,Donphan,Donfanドンファン,ground,,"['Sturdy', 'Sand Veil']",90,120,120,60,60,50,500,Armor Pokémon,2,0,1000000,60,5120,70,1.1,50,120,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
233,Porygon2,Porygon2ポリゴン２,normal,,"['Trace', 'Download', 'Analytic']",85,80,90,105,95,60,515,Virtual Pokémon,2,0,1000000,45,5120,70,0.6,,32.5,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
234,Stantler,Odoshishiオドシシ,normal,,"['Intimidate', 'Frisk', 'Sap Sipper']",73,95,62,85,65,85,465,Big Horn Pokémon,2,0,1250000,45,5120,70,1.4,50,71.2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
235,Smeargle,Dobleドーブル,normal,,"['Own Tempo', 'Technician', 'Moody']",55,20,35,20,45,75,250,Painter Pokémon,2,0,800000,45,5120,70,1.2,50,58,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
236,Tyrogue,Balkieバルキー,fighting,,"['Guts', 'Steadfast', 'Vital Spirit']",35,35,35,35,35,35,210,Scuffle Pokémon,2,0,1000000,75,6400,70,0.7,100,21,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
237,Hitmontop,Kapoererカポエラー,fighting,,"['Intimidate', 'Technician', 'Steadfast']",50,95,95,35,110,70,455,Handstand Pokémon,2,0,1000000,45,6400,70,1.4,100,48,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
238,Smoochum,Muchulムチュール,ice,psychic,"['Oblivious', 'Forewarn', 'Hydration']",45,30,15,85,65,65,305,Kiss Pokémon,2,0,1000000,45,6400,70,0.4,0,6,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1
239,Elekid,Elekidエレキッド,electric,,"['Static', 'Vital Spirit']",45,63,37,65,55,95,360,Electric Pokémon,2,0,1000000,45,6400,70,0.6,75.4,23.5,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
240,Magby,Bubyブビィ,fire,,"['Flame Body', 'Vital Spirit']",45,75,37,70,55,83,365,Live Coal Pokémon,2,0,1000000,45,6400,70,0.7,75.4,21.4,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
241,Miltank,Miltankミルタンク,normal,,"['Thick Fat', 'Scrappy', 'Sap Sipper']",95,80,105,40,70,100,490,Milk Cow Pokémon,2,0,1250000,45,5120,70,1.2,0,75.5,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
242,Blissey,Happinasハピナス,normal,,"['Natural Cure', 'Serene Grace', 'Healer']",255,10,10,75,135,55,540,Happiness Pokémon,2,0,800000,30,10240,140,1.5,0,46.8,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
243,Raikou,Raikouライコウ,electric,,"['Pressure', 'Inner Focus']",90,85,75,115,100,115,580,Thunder Pokémon,2,1,1250000,3,20480,35,1.9,,178,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
244,Entei,Enteiエンテイ,fire,,"['Pressure', 'Inner Focus']",115,115,85,90,75,100,580,Volcano Pokémon,2,1,1250000,3,20480,35,2.1,,198,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
245,Suicune,Suicuneスイクン,water,,"['Pressure', 'Inner Focus']",100,75,115,90,115,85,580,Aurora Pokémon,2,1,1250000,3,20480,35,2,,187,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
246,Larvitar,Yogirasヨーギラス,rock,ground,"['Guts', 'Sand Veil']",50,64,50,45,50,41,300,Rock Skin Pokémon,2,0,1250000,45,10240,35,0.6,50,72,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
247,Pupitar,Sanagirasサナギラス,rock,ground,['Shed Skin'],70,84,70,65,70,51,410,Hard Shell Pokémon,2,0,1250000,45,10240,35,1.2,50,152,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
248,Tyranitar,Bangirasバンギラス,rock,dark,"['Sand Stream', 'Unnerve']",100,164,150,95,120,71,700,Armor Pokémon,2,0,1250000,45,10240,35,2,50,202,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2
249,Lugia,Lugiaルギア,psychic,flying,"['Pressure', 'Multiscale']",106,90,130,90,154,110,680,Diving Pokémon,2,1,1250000,3,30720,0,5.2,,216,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
250,Ho-Oh,Hououホウオウ,fire,flying,"['Pressure', 'Regenerator']",106,130,90,110,154,90,680,Rainbow Pokémon,2,1,1250000,3,30720,0,3.8,,199,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
251,Celebi,Celebiセレビィ,psychic,grass,['Natural Cure'],100,100,100,100,100,100,600,Time Travel Pokémon,2,1,1059860,45,30720,100,0.6,,5,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
252,Treecko,Kimoriキモリ,grass,,"['Overgrow', 'Unburden']",40,45,35,65,55,70,310,Wood Gecko Pokémon,3,0,1059860,45,5120,70,0.5,88.1,5,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
253,Grovyle,Juptileジュプトル,grass,,"['Overgrow', 'Unburden']",50,65,45,85,65,95,405,Wood Gecko Pokémon,3,0,1059860,45,5120,70,0.9,88.1,21.6,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
254,Sceptile,Jukainジュカイン,grass,,"['Overgrow', 'Unburden']",70,110,75,145,85,145,630,Forest Pokémon,3,0,1059860,45,5120,70,1.7,88.1,52.2,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
255,Torchic,Achamoアチャモ,fire,,"['Blaze', 'Speed Boost']",45,60,40,70,50,45,310,Chick Pokémon,3,0,1059860,45,5120,70,0.4,88.1,2.5,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
256,Combusken,Wakasyamoワカシャモ,fire,fighting,"['Blaze', 'Speed Boost']",60,85,60,85,60,55,405,Young Fowl Pokémon,3,0,1059860,45,5120,70,0.9,88.1,19.5,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
257,Blaziken,Bursyamoバシャーモ,fire,fighting,"['Blaze', 'Speed Boost']",80,160,80,130,80,100,630,Blaze Pokémon,3,0,1059860,45,5120,70,1.9,88.1,52,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
258,Mudkip,Mizugorouミズゴロウ,water,,"['Torrent', 'Damp']",50,70,50,50,50,40,310,Mud Fish Pokémon,3,0,1059860,45,5120,70,0.4,88.1,7.6,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
259,Marshtomp,Numacrawヌマクロー,water,ground,"['Torrent', 'Damp']",70,85,70,60,70,50,405,Mud Fish Pokémon,3,0,1059860,45,5120,70,0.7,88.1,28,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
260,Swampert,Laglargeラグラージ,water,ground,"['Torrent', 'Damp']",100,150,110,95,110,70,635,Mud Fish Pokémon,3,0,1059860,45,5120,70,1.5,88.1,81.9,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
261,Poochyena,Pochienaポチエナ,dark,,"['Run Away', 'Quick Feet', 'Rattled']",35,55,35,30,30,35,220,Bite Pokémon,3,0,1000000,255,3840,70,0.5,50,13.6,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
262,Mightyena,Graenaグラエナ,dark,,"['Intimidate', 'Quick Feet', 'Moxie']",70,90,70,60,60,70,420,Bite Pokémon,3,0,1000000,127,3840,70,1,50,37,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
263,Zigzagoon,Jiguzagumaジグザグマ,normal,,"['Pickup', 'Gluttony', 'Quick Feet']",38,30,41,30,41,60,240,Tiny Racoon Pokémon,3,0,1000000,255,3840,70,0.4,50,17.5,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
264,Linoone,Massugumaマッスグマ,normal,,"['Pickup', 'Gluttony', 'Quick Feet']",78,70,61,50,61,100,420,Rush Pokémon,3,0,1000000,90,3840,70,0.5,50,32.5,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
265,Wurmple,Kemussoケムッソ,bug,,"['Shield Dust', 'Run Away']",45,45,35,20,30,20,195,Worm Pokémon,3,0,1000000,255,3840,70,0.3,50,3.6,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
266,Silcoon,Karasalisカラサリス,bug,,['Shed Skin'],50,35,55,25,25,15,205,Cocoon Pokémon,3,0,1000000,120,3840,70,0.6,50,10,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
267,Beautifly,Agehuntアゲハント,bug,flying,"['Swarm', 'Rivalry']",60,70,50,100,50,65,395,Butterfly Pokémon,3,0,1000000,45,3840,70,1,50,28.4,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
268,Cascoon,Mayuldマユルド,bug,,['Shed Skin'],50,35,55,25,25,15,205,Cocoon Pokémon,3,0,1000000,120,3840,70,0.7,50,11.5,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
269,Dustox,Dokucaleドクケイル,bug,poison,"['Shield Dust', 'Compoundeyes']",60,50,70,50,90,65,385,Poison Moth Pokémon,3,0,1000000,45,3840,70,1.2,50,31.6,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
270,Lotad,Hassbohハスボー,water,grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",40,30,30,40,50,30,220,Water Weed Pokémon,3,0,1059860,255,3840,70,0.5,50,2.6,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25
271,Lombre,Hasubreroハスブレロ,water,grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",60,50,50,60,70,50,340,Jolly Pokémon,3,0,1059860,120,3840,70,1.2,50,32.5,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25
272,Ludicolo,Runpappaルンパッパ,water,grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",80,70,70,90,100,70,480,Carefree Pokémon,3,0,1059860,45,3840,70,1.5,50,55,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25
273,Seedot,Tanebohタネボー,grass,,"['Chlorophyll', 'Early Bird', 'Pickpocket']",40,40,50,30,30,30,220,Acorn Pokémon,3,0,1059860,255,3840,70,0.5,50,4,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
274,Nuzleaf,Konohanaコノハナ,grass,dark,"['Chlorophyll', 'Early Bird', 'Pickpocket']",70,70,40,60,40,60,340,Wily Pokémon,3,0,1059860,120,3840,70,1,50,28,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5
275,Shiftry,Dirtengダーテング,grass,dark,"['Chlorophyll', 'Early Bird', 'Pickpocket']",90,100,60,90,60,80,480,Wickid Pokémon,3,0,1059860,45,3840,70,1.3,50,59.6,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5
276,Taillow,Subameスバメ,normal,flying,"['Guts', 'Scrappy']",40,55,30,30,30,85,270,TinySwallow Pokémon,3,0,1059860,200,3840,70,0.3,50,2.3,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
277,Swellow,Ohsubameオオスバメ,normal,flying,"['Guts', 'Scrappy']",60,85,60,75,50,125,455,Swallow Pokémon,3,0,1059860,45,3840,70,0.7,50,19.8,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
278,Wingull,Camomeキャモメ,water,flying,"['Keen Eye', 'Hydration', 'Rain Dish']",40,30,30,55,30,85,270,Seagull Pokémon,3,0,1000000,190,5120,70,0.6,50,9.5,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
279,Pelipper,Pelipperペリッパー,water,flying,"['Keen Eye', 'Drizzle', 'Rain Dish']",60,50,100,95,70,65,440,Water Bird Pokémon,3,0,1000000,45,5120,70,1.2,50,28,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
280,Ralts,Raltsラルトス,psychic,fairy,"['Synchronize', 'Trace', 'Telepathy']",28,25,25,45,35,40,198,Feeling Pokémon,3,0,1250000,235,5120,35,0.4,50,6.6,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
281,Kirlia,Kirliaキルリア,psychic,fairy,"['Synchronize', 'Trace', 'Telepathy']",38,35,35,65,55,50,278,Emotion Pokémon,3,0,1250000,120,5120,35,0.8,50,20.2,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
282,Gardevoir,Sirnightサーナイト,psychic,fairy,"['Synchronize', 'Trace', 'Telepathy']",68,85,65,165,135,100,618,Embrace Pokémon,3,0,1250000,45,5120,35,1.6,50,48.4,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
283,Surskit,Ametamaアメタマ,bug,water,"['Swift Swim', 'Rain Dish']",40,30,32,50,52,65,269,Pond Skater Pokémon,3,0,1000000,200,3840,70,0.5,50,1.7,1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5
284,Masquerain,Amemothアメモース,bug,flying,"['Intimidate', 'Unnerve']",70,60,62,100,82,80,454,Eyeball Pokémon,3,0,1000000,75,3840,70,0.8,50,3.6,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
285,Shroomish,Kinococoキノココ,grass,,"['Effect Spore', 'Poison Heal', 'Quick Feet']",60,40,60,40,60,35,295,Mushroom Pokémon,3,0,1640000,255,3840,70,0.4,50,4.5,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
286,Breloom,Kinogassaキノガッサ,grass,fighting,"['Effect Spore', 'Poison Heal', 'Technician']",60,130,80,60,60,70,460,Mushroom Pokémon,3,0,1640000,90,3840,70,1.2,50,39.2,1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5
287,Slakoth,Namakeroナマケロ,normal,,['Truant'],60,60,60,35,35,30,280,Slacker Pokémon,3,0,1250000,255,3840,70,0.8,50,24,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
288,Vigoroth,Yarukimonoヤルキモノ,normal,,['Vital Spirit'],80,80,80,55,55,90,440,Wild Monkey Pokémon,3,0,1250000,120,3840,70,1.4,50,46.5,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
289,Slaking,Kekkingケッキング,normal,,['Truant'],150,160,100,95,65,100,670,Lazy Pokémon,3,0,1250000,45,3840,70,2,50,130.5,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
290,Nincada,Tutininツチニン,bug,ground,"['Compoundeyes', 'Run Away']",31,45,90,30,30,40,266,Trainee Pokémon,3,0,600000,255,3840,70,0.5,50,5.5,1,1,1,0,1,0.5,2,2,1,1,0.5,2,1,0.5,1,1,1,2
291,Ninjask,Tekkaninテッカニン,bug,flying,"['Speed Boost', 'Infiltrator']",61,90,45,50,50,160,456,Ninja Pokémon,3,0,600000,120,3840,70,0.8,50,12,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
292,Shedinja,Nukeninヌケニン,bug,ghost,['Wonder Guard'],1,90,45,30,30,40,236,Shed Pokémon,3,0,600000,45,3840,70,0.8,,1.2,0.5,2,1,1,1,0,2,2,2,0.5,0.5,1,0,0.5,1,2,1,1
293,Whismur,Gonyonyoゴニョニョ,normal,,"['Soundproof', 'Rattled']",64,51,23,51,23,28,240,Whisper Pokémon,3,0,1059860,190,5120,70,0.6,50,16.3,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
294,Loudred,Dogohmbドゴーム,normal,,"['Soundproof', 'Scrappy']",84,71,43,71,43,48,360,Big Voice Pokémon,3,0,1059860,120,5120,70,1,50,40.5,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
295,Exploud,Bakuongバクオング,normal,,"['Soundproof', 'Scrappy']",104,91,63,91,73,68,490,Loud Noise Pokémon,3,0,1059860,45,5120,70,1.5,50,84,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
296,Makuhita,Makunoshitaマクノシタ,fighting,,"['Thick Fat', 'Guts', 'Sheer Force']",72,60,30,20,30,25,237,Guts Pokémon,3,0,1640000,180,5120,70,1,75.4,86.4,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
297,Hariyama,Hariteyamaハリテヤマ,fighting,,"['Thick Fat', 'Guts', 'Sheer Force']",144,120,60,40,60,50,474,Arm Thrust Pokémon,3,0,1640000,200,5120,70,2.3,75.4,253.8,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
